quarter,total_pixeles_median,Suma_de_radianza_trend_sum,Suma_de_radianza_trend_median,Suma_de_radianza_trend_std,Suma_de_radianza_trend_mean,Media_de_radianza_trend_sum,Media_de_radianza_trend_median,Media_de_radianza_trend_std,Media_de_radianza_trend_mean,Desviacion_estandar_de_radianza_trend_sum,Desviacion_estandar_de_radianza_trend_median,Desviacion_estandar_de_radianza_trend_std,Desviacion_estandar_de_radianza_trend_mean,Maximo_de_radianza_trend_sum,Maximo_de_radianza_trend_median,Maximo_de_radianza_trend_std,Maximo_de_radianza_trend_mean,Minimo_de_radianza_trend_sum,Minimo_de_radianza_trend_median,Minimo_de_radianza_trend_std,Minimo_de_radianza_trend_mean,Percentil_25_de_radianza_trend_sum,Percentil_25_de_radianza_trend_median,Percentil_25_de_radianza_trend_std,Percentil_25_de_radianza_trend_mean,Percentil_50_de_radianza_trend_sum,Percentil_50_de_radianza_trend_median,Percentil_50_de_radianza_trend_std,Percentil_50_de_radianza_trend_mean,Percentil_75_de_radianza_trend_sum,Percentil_75_de_radianza_trend_median,Percentil_75_de_radianza_trend_std,Percentil_75_de_radianza_trend_mean,fecha,municipio,pib_mun_desestacionalizado,pib_mun_trend
2014Q3,944.0,25353456.19603689,275633.4506353126,4474.233820347086,275581.04560909665,26857.474783937385,291.98458753740715,4.7396544707066885,291.92907373844986,12511.830478546382,136.06804378276513,2.8471503911445426,135.99815737550415,89108.62428202854,970.2029630326571,25.633271449325488,968.5720030655276,2582.3488157300944,28.087465712766623,0.7319184223242645,28.06900886663146,19469.90311437257,211.65672781464357,3.655670287818474,211.62938167796273,28162.491511047792,306.1992770316349,5.172561032184954,306.11403816356295,34394.17241212759,373.9317212626088,6.0939911636859225,373.84970013182163,2014-09-30,Monterrey,212582.93489409622,211908.78293646825
2014Q4,944.0,24057426.56718335,261195.93851996702,3378.209783205583,261493.76703460162,25484.562041507786,276.6906128389484,3.578612058480585,277.00610914682375,11655.411449681082,126.49719974587796,2.310620685693381,126.68925488783785,80352.77757955287,872.0122530923716,26.74724282048593,873.3997562994878,2750.456385931308,29.989384666517147,0.26973448812069223,29.89626506447074,18433.294549627855,200.08841640654572,2.6074323105548762,200.36189727856365,26645.418705553224,289.2860679817718,4.00536475201433,289.624116364709,32616.910837009105,354.1413307480586,4.68114498095071,354.5316395327077,2014-12-31,Monterrey,214668.31939612687,213319.29977534257
2015Q1,944.0,22731427.99764011,252386.39646876382,1942.750675319914,252571.42219600122,24079.902539873,267.3584708355544,2.0579985967372165,267.55447266525556,10866.07360793194,120.58232619519802,1.2112264996552224,120.73415119924377,72202.7503214901,800.0592468841428,14.02050789864065,802.2527813498899,2691.0475282405764,29.94006363963824,0.20212624238906776,29.90052809156196,17453.85625659979,193.76873846502338,1.2618574980910462,193.9317361844421,25102.517313305892,278.7081873358276,2.3712252192738354,278.91685903673215,30772.764822536054,341.6808242747604,2.8297823178476285,341.9196091392895,2015-03-31,Monterrey,215393.3500426486,214306.93917387142
2015Q2,944.0,22665868.26093681,249011.16490984292,240.13319887733613,249075.47539491003,24010.453666246623,263.78301367568145,0.25437838864127915,263.85113918952334,10817.534341707791,118.79032921562212,0.2407404104721899,118.87400375503067,71032.33939049876,780.0193320665229,1.941794995800072,780.575158137349,2619.061627076721,28.814991792192604,0.44598834963964845,28.780897000843087,17483.432332643166,192.03065401644082,0.2658790491006766,192.12563002904577,24965.398555066426,274.2310605268307,0.3395717912483091,274.345039066664,30618.72923271634,336.34122711079146,0.4011765709558286,336.46955200787187,2015-06-30,Monterrey,212428.94232372535,215013.78594200755
2015Q3,944.0,23142266.459340222,251427.98979751044,1325.1364883646932,251546.3745580459,24515.112774724814,266.3432095312614,1.4037462800474316,266.4686171165741,11163.670216538329,121.25385299859843,1.1754832165279847,121.34424148411226,73706.30706115953,800.16613742707,10.171765700709354,801.1555115343427,2475.9481234551563,26.90387530699605,0.5983909940937675,26.912479602773438,17877.918389974362,194.27439553155892,0.9566680177566349,194.32519989102568,25444.935929289157,276.42812381800525,1.3696923594939767,276.5753905357517,31230.991192092763,339.29114648854153,1.7757123043545793,339.4672955662257,2015-09-30,Monterrey,217039.35309550987,215605.9070705552
2015Q4,944.0,23532355.873566005,255991.22590616776,828.6916764054178,255786.476886587,24928.34308640467,271.1771460870422,0.8778513521245073,270.9602509391812,11535.719155488303,125.50939090022783,0.9664845511876146,125.38825169009024,77449.79087151463,842.3273737044334,11.957741210392053,841.845552951246,2331.0555851710405,25.269104909218193,0.26500096905202836,25.337560708380874,18118.34332335902,197.1295953677419,0.3544699620117841,196.93851438433717,25857.056743939967,281.2806744314827,0.8758142464304121,281.0549646080431,31761.28736031287,345.5027691084149,1.1438027226918384,345.23138435122684,2015-12-31,Monterrey,215793.75714616413,216334.18691893754
2016Q1,944.0,23399424.080509257,257125.44493677473,179.64923330779536,257136.5283572446,24787.525509014045,272.37864929743085,0.19030639121589168,272.3903902089456,11624.626486953774,127.74862075425284,0.5171961372714153,127.74314820828323,79749.42799777257,877.0683375527424,7.863113744086837,876.3673406348634,2274.687830827207,24.99690616830884,0.008544346235522818,24.996569569529747,17880.880884051283,196.52448949111866,0.4195510625176606,196.49319652803607,25703.53270124419,282.4354229299506,0.19488120902558265,282.4564033103757,31606.59319643799,347.27983985191923,0.3989717416207026,347.325199960857,2016-03-31,Monterrey,217442.65133652068,217246.82105128068
2016Q2,944.0,23482864.357707046,257944.85346237817,457.8804082680497,258053.4544802972,24875.915633164248,273.2466668033669,0.48504280536856303,273.3617102545522,11781.3915173862,129.4482108006502,0.5047409971583219,129.4658408503978,81308.57089551906,894.1680892872334,2.18500954786686,893.500779071638,2260.8700950104185,24.8468679099061,0.08392596140333707,24.844726318795807,17743.372669098622,194.87444331513237,0.34004170937039113,194.982117242842,25809.198695251787,283.47596243459196,0.6115607571252752,283.61756807969,31795.163930472736,349.2515420114721,0.9152404538451561,349.3974058293707,2016-06-30,Monterrey,218249.54602388365,218409.57898440966
2016Q3,944.0,24024661.128983647,261020.01806906465,1341.7710688535221,261137.62096721356,25449.85289087251,276.50425642909397,1.421367657683767,276.62883577035336,12095.596570449365,131.46626674886448,0.6447109541256366,131.47387576575397,82385.19123905872,895.7931588884674,0.7049133005688412,895.4912091202035,2270.858438105817,24.67587489306878,0.024723895673815912,24.683243892454534,17999.151981441817,195.46841220787655,0.7772011275925135,195.64295632001975,26457.81831386668,287.4562634191742,1.681128717900394,287.5849816724639,32607.855946235217,354.2963306386072,1.9950968764505774,354.4332168069045,2016-09-30,Monterrey,218017.98597783604,219942.08396271992
2016Q4,944.0,24647080.877479214,267638.86737882905,2761.5329031387982,267903.0530160784,26109.195844787308,283.5157493419799,2.9253526516299444,283.7956070085577,12347.006393131684,134.11347447387647,1.0378423226907616,134.2065912296922,82129.13094596869,892.7359654598308,0.580338641674219,892.7079450648771,2292.991530325548,24.926548021321608,0.10209417999644615,24.923820981799434,18475.23193163689,200.5617322735783,2.3473505656443594,200.81773838735748,27209.428506161777,295.44812070403873,3.2733048286971727,295.75465767567147,33494.23125479805,363.7103589220046,3.8555572126494186,364.06773103041354,2016-12-31,Monterrey,221319.9454216013,221276.36866194158
