fecha,municipio,total_pixeles,Suma_de_radianza_detrend,Suma_de_radianza,Media_de_radianza_detrend,Media_de_radianza,Desviacion_estandar_de_radianza_detrend,Desviacion_estandar_de_radianza,Maximo_de_radianza_detrend,Maximo_de_radianza,Minimo_de_radianza_detrend,Minimo_de_radianza,Percentil_25_de_radianza_detrend,Percentil_25_de_radianza,Percentil_50_de_radianza_detrend,Percentil_50_de_radianza,Percentil_75_de_radianza_detrend,Percentil_75_de_radianza
2015-06-21,monterrey,944,-97697.42551987752,249282.42551987752,-103.49303550834489,264.07036601681943,-44.98647490958082,119.26927707777155,-496.56243707448914,783.5624370744891,-7.143971427800388,28.143971427800388,-92.56789843398082,192.56789843398082,-96.32828143965048,274.3282814396505,-116.5121884315738,336.5121884315738
2015-06-22,monterrey,944,-222945.3472888236,249307.3472888236,-236.17091873816042,264.09676619578755,-110.23089466076753,119.29462904905786,-737.7734571222878,783.7734571222878,-23.123353319276585,28.123353319276585,-171.59162412733806,192.59162412733806,-244.34976425144487,274.34976425144487,-301.54149344942215,336.54149344942215
2015-06-23,monterrey,944,-84072.83905576286,249332.83905576286,-89.06021086415566,264.1237701861896,-26.722728004388983,119.32042141313086,-235.98815824469511,783.9881582446951,-18.102638325859353,28.102638325859353,-79.61564882266336,192.61564882266336,-108.37191375523537,274.37191375523537,-105.57166342668171,336.5716634266817
2015-06-24,monterrey,944,10176.105251544213,249358.8947484558,10.779772512229215,264.1513715555674,24.06951126295735,119.34665055545489,-40.206514444688196,784.2065144446882,-13.081827080664386,28.081827080664386,-28.639968058656564,192.63996805865656,12.605276354203852,274.39472364579615,40.39730998638305,336.60269001361695
2015-06-25,monterrey,944,-22755.50774548907,249385.50774548907,-24.105410747340272,264.17956328971314,-3.9919038390793844,119.37331265956682,-84.42850035871504,784.428500358715,-23.06092047582515,28.06092047582515,-23.66457675780154,192.66457675780154,-24.41818696232758,274.4181869623276,-23.634564011150076,336.6345640111501
2015-06-26,monterrey,944,33639.329063367186,249412.6709366328,35.63488248238059,264.20833785660244,27.8945515991567,119.40040354177265,-21.65409272943907,784.6540927294391,-22.039919965041722,28.039919965041722,22.81053046695513,192.68946953304487,39.55770389024798,274.442296109752,51.33272476092634,336.66727523907366
2015-06-27,monterrey,944,97195.62230624416,249440.37769375584,102.96146430746194,264.23768823491093,55.258569555305215,119.42791886486411,122.11673474409554,784.8832652559045,-19.01882722360994,28.01882722360994,72.53535840482078,192.71464159517922,116.53295595721477,274.46704404278523,141.7991860379555,336.7008139620445
2015-06-28,monterrey,944,148449.37741755514,249468.62258244486,157.25569641690169,264.26760866784406,71.34949546288274,119.45585472484876,474.88400555585997,785.11599444414,-10.997643984397438,27.99764398439744,126.00991096002582,192.74008903997418,182.50757479321123,274.49242520678877,196.2648279232663,336.7351720767337
2015-06-29,monterrey,944,32401.59949551904,249497.40050448096,34.323728279151226,264.2980937547471,22.255714738938025,119.48420729566416,-81.35225822447796,785.352258224478,-2.976372028652179,27.97637202865218,-9.515808201379627,192.76580820137963,45.48156561834378,274.5184343816562,54.47965798413696,336.77034201586304
2015-06-30,monterrey,944,17101.29336517636,249526.70663482364,18.11577686989051,264.3291383843468,-12.709766243745221,119.51297280503006,-272.59203293542055,785.5920329354205,14.044986825757132,27.95501317424287,38.958204273387764,192.79179572661224,28.45493340425446,274.54506659574554,13.193683349640082,336.8063166503599
2015-07-01,monterrey,944,30374.463737627055,249556.53626237295,32.176338705112926,264.3607375660735,-3.7139362757055494,119.54214731605505,435.1647127194965,785.8352872805035,17.066430739476925,27.933569260523075,37.431951634532965,192.81804836546704,35.427682991600875,274.5723170083991,29.15691093187155,336.84308906812845
2015-07-02,monterrey,944,22515.115180139896,249586.8848198601,23.850757606080663,264.39288646171593,-65.26472950901976,119.57172684455772,-337.08198587154993,786.0819858715499,110.08795786129525,27.912042138704756,64.15543712567515,192.84456287432485,16.399818962109293,274.6001810378907,-12.880652639869936,336.88065263986994
2015-07-03,monterrey,944,106957.25197581667,249617.74802418333,113.30217370319576,264.4255805340924,41.67453536029191,119.60170752079057,232.66790749423944,786.3320925057606,9.109566283791096,27.890433716208904,79.12866381117956,192.87133618882044,122.87134554015495,274.62865445984505,138.33099879131885,336.91900120868115
2015-07-04,monterrey,944,-26456.12159735631,249649.1215973563,-28.025552539572317,264.4588152514367,-40.815791155424705,119.63208552403087,-264.58557224051276,786.5855722405128,16.131254076625098,27.868745923374902,3.101634680280057,192.89836531971994,-38.65773301367,274.65773301367,-52.95812863353922,336.9581286335392
2015-07-05,monterrey,944,74918.99874868526,249681.00125131474,79.36334613208146,264.4925860713084,27.984277425753064,119.66285691273752,33.15761052624384,786.8423894737562,-4.846980691601015,27.846980691601015,73.07435250153887,192.92564749846113,90.31258755447396,274.68741244552604,96.00197135876965,336.99802864123035
2015-07-06,monterrey,944,46690.61710652325,249713.38289347675,49.46039947724944,264.5268886583438,51.0485897492065,119.694017628102,998.8974943926478,787.1025056073522,-10.82513992027084,27.82513992027084,32.04681959194559,192.9531804080544,46.282311260322444,274.71768873967756,57.961304984938465,337.03869501506153
2015-07-07,monterrey,944,50548.737122871564,249746.26287712844,53.54739101999081,264.56171914950073,22.03330203728379,119.72556371262169,-84.3658795207524,787.3658795207524,-14.803225485408422,27.803225485408422,54.019037885923865,192.98096211407614,58.251441637662424,274.7485583623376,73.91987790257826,337.08012209742174
2015-07-08,monterrey,944,87411.36164516179,249779.63835483821,92.59678140377326,264.59707452843014,50.60516207309034,119.75749175157462,274.367525935545,787.632474064455,-13.781239352172499,27.7812393521725,74.74100892370222,193.00899107629778,96.21998136686426,274.78001863313574,116.87769463017912,337.1223053698209
2015-07-09,monterrey,944,129560.49239526718,249813.50760473282,137.24628431702047,264.6329529711151,64.96246941338204,119.78979896404466,400.0977407939654,787.9022592060346,-9.759183558604864,27.759183558604864,109.46273347361756,193.03726652638244,146.18793187746127,274.81206812253873,174.83475824887682,337.1652417511232
